IDBerco;DiaTaxaOcupacao;MêsTaxaOcupacao;AnoTaxaOcupacao;TempoEmMinutosdiasFlagCarga
POAL404;20;jan;2025;0
POAL404;12;mar;2025;0
POAL404;8;abr;2025;0
POAL404;11;mai;2025;0
POAL404;6;mar;2025;0
POAL404;27;mar;2025;0
POAL404;12;mai;2025;0
POAL404;19;fev;2025;0
POAL404;12;fev;2025;0
POAL404;5;fev;2025;0
POAL404;23;mar;2025;0
POAL404;13;jan;2025;0
POAL404;12;jun;2025;0
POAL404;20;abr;2025;0
POAL404;18;mai;2025;0
POAL404;18;jan;2025;0
POAL404;18;jun;2025;0
POAL404;26;mar;2025;0
POAL404;28;jan;2025;0
POAL404;9;mai;2025;0
POAL404;17;abr;2025;0
POAL404;24;fev;2025;0
POAL404;12;jan;2025;0
POAL404;14;jun;2025;0
POAL404;1;mai;2025;0
POAL404;15;fev;2025;0
POAL404;19;mai;2025;0
POAL404;16;fev;2025;0
POAL404;25;abr;2025;0
POAL404;28;jun;2025;0
POAL404;8;mai;2025;0
POAL404;25;mar;2025;0
POAL404;22;fev;2025;0
POAL404;7;mar;2025;0
POAL404;22;abr;2025;0
POAL404;10;mai;2025;0
POAL404;16;mai;2025;0
POAL404;3;fev;2025;0
POAL404;9;abr;2025;0
POAL404;13;mar;2025;0
POAL404;19;mar;2025;0
POAL404;8;jun;2025;0
POAL404;30;jun;2025;0
POAL404;9;fev;2025;0
POAL404;24;abr;2025;0
POAL404;14;mar;2025;0
POAL404;24;jun;2025;0
POAL404;28;abr;2025;0
POAL404;8;mar;2025;0
POAL404;4;jan;2025;0
POAL404;26;jun;2025;0
POAL404;11;mar;2025;0
POAL404;4;mar;2025;0
POAL404;10;fev;2025;0
POAL404;30;mar;2025;0
POAL404;1;jun;2025;0
POAL404;31;mar;2025;0
POAL404;31;mai;2025;0
POAL404;11;fev;2025;0
POAL404;15;jan;2025;0
POAL404;7;jun;2025;0
POAL404;6;abr;2025;0
POAL404;26;jan;2025;0
POAL404;18;fev;2025;0
POAL404;30;abr;2025;0
POAL404;17;mai;2025;0
POAL404;14;abr;2025;0
POAD305;15;mai;2025;0
POAD305;4;abr;2025;0
POAD305;27;fev;2025;0
POAD305;19;jan;2025;0
POAD305;22;jun;2025;0
POAD305;16;abr;2025;0
POAD305;27;jan;2025;0
POAD305;1;mar;2025;0
POAD305;13;abr;2025;0
POAD305;8;jan;2025;0
POAD305;26;mai;2025;0
POAD305;29;jan;2025;0
POAD305;27;jun;2025;0
POAD305;19;jun;2025;0
POAD305;18;abr;2025;0
POAD305;20;mai;2025;0
POAD305;21;jan;2025;0
POAD305;8;fev;2025;0
POAD305;21;abr;2025;0
POAD305;2;mai;2025;0
POAD305;5;mai;2025;0
POAD305;26;fev;2025;0
POAD305;4;fev;2025;0
POAD305;18;mar;2025;0
POAD305;15;jun;2025;0
POAD305;14;jan;2025;0
POAD305;5;jun;2025;0
POAD305;23;jan;2025;0
POAD305;7;abr;2025;0
POAD305;23;jun;2025;0
POAD305;2;fev;2025;0
POAD305;20;mar;2025;0
POAD305;10;jun;2025;0
POAD305;9;jun;2025;0
POAD305;1;jan;2025;0
POAD305;17;mar;2025;0
POAD305;23;mai;2025;0
POAD305;2;mar;2025;0
POAD305;2;abr;2025;0
POAD305;9;jan;2025;0
POAD305;4;jun;2025;0
POAD305;25;jan;2025;0
POAD305;27;mai;2025;0
POAD305;10;mar;2025;0
POAD305;11;abr;2025;0
POAD305;25;fev;2025;0
POAD305;5;jan;2025;0
POAD305;21;mar;2025;0
POAD305;30;mai;2025;0
POAD305;1;fev;2025;0
POAD305;29;mar;2025;0
POAD305;21;jun;2025;0
POAD305;13;fev;2025;0
POAD305;21;mai;2025;0
POAD305;24;mar;2025;0
POAD305;31;jan;2025;0
POAD305;14;mai;2025;0
POAD305;29;mai;2025;0
POAD305;10;abr;2025;0
POAD305;15;mar;2025;0
POAD305;6;jun;2025;0
POAD305;16;jan;2025;0
POAD305;22;jan;2025;0
POAD305;5;abr;2025;0
POAD305;9;mar;2025;0
POAD305;6;mai;2025;0
POAD305;23;abr;2025;0
POAD305;28;fev;2025;0
POAD305;3;abr;2025;0
POAD305;4;mai;2025;0
POAD305;20;fev;2025;0
POAD305;15;abr;2025;0
POAD305;25;mai;2025;0
POAD305;27;abr;2025;0
POAD305;16;mar;2025;0
POAD305;17;fev;2025;0
POAD305;11;jan;2025;0
POAD305;28;mai;2025;0
POAD305;17;jan;2025;0
POAD305;6;jan;2025;0
POAD305;2;jun;2025;0
POAD305;24;jan;2025;0
POAD305;3;jun;2025;0
POAD305;20;jun;2025;0
POAD305;19;abr;2025;0
POAD305;22;mar;2025;0
POAD305;23;fev;2025;0
POAD305;24;mai;2025;0
POAD305;7;jan;2025;0
POAD305;14;fev;2025;0
POAD305;25;jun;2025;0
POAD305;11;jun;2025;0
POAD305;29;jun;2025;0
POAD305;21;fev;2025;0
POAD305;1;abr;2025;0
POAD305;7;mai;2025;0
POAD305;17;jun;2025;0
POAD305;26;abr;2025;0
POAD305;7;fev;2025;0
POAD305;29;abr;2025;0
POAD305;3;jan;2025;0
POAD305;13;jun;2025;0
POAD305;12;abr;2025;0
POAD305;3;mar;2025;0
POAD305;22;mai;2025;0
POAD305;10;jan;2025;0
POAD305;28;mar;2025;0
POAD305;13;mai;2025;0
POAD305;16;jun;2025;0
POAD305;3;mai;2025;0
POAD305;30;jan;2025;0
POAD305;5;mar;2025;0
POAD305;2;jan;2025;0
POAD305;6;fev;2025;0
POAD305;20;jan;2025;0
POAD305;12;mar;2025;0
POAD305;8;abr;2025;0
POAD305;11;mai;2025;0
POAD305;6;mar;2025;0
POAD305;27;mar;2025;0
POAD305;12;mai;2025;0
POAD305;19;fev;2025;0
POAD305;12;fev;2025;0
POAD305;5;fev;2025;0
POAD305;23;mar;2025;0
POAD305;13;jan;2025;0
POAD305;12;jun;2025;0
POAD305;20;abr;2025;0
POAD305;18;mai;2025;0
POAD305;18;jan;2025;0
POAD305;18;jun;2025;0
POAD305;26;mar;2025;0
POAD305;28;jan;2025;0
POAD305;9;mai;2025;0
POAD305;17;abr;2025;0
POAD305;24;fev;2025;0
POAD305;12;jan;2025;0
POAD305;14;jun;2025;0
POAD305;1;mai;2025;0
POAD305;15;fev;2025;0
POAD305;19;mai;2025;0
POAD305;16;fev;2025;0
POAD305;25;abr;2025;0
POAD305;28;jun;2025;0
POAD305;8;mai;2025;0
POAD305;25;mar;2025;0
POAD305;22;fev;2025;0
POAD305;7;mar;2025;0
POAD305;22;abr;2025;0
POAD305;10;mai;2025;0
POAD305;16;mai;2025;0
POAD305;3;fev;2025;0
POAD305;9;abr;2025;0
