id_trecho,br,br_pad,uf,trecho_desc,localidade,km_ini,km_fim,ext_km,situacao,classe,sentido,jurisdicao,concessao,data_ref,chave_trecho_hint,BR_PAD,UF,KM_INI_SNV,KM_FIM_SNV,KM_INI_ARRED_SNV,__row_id_snv,KM_INI_SHP,KM_FIM_SHP,KM_INI_ARRED_SHP
030BBA0240,30,BR-30,BA,Eixo Principal,Vitória da Conquista,2865.0,2876.0,11.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|2865,BR-30,BA,2865.0,2876.0,2865,73,,,
030BBA0242,30,BR-30,BA,Eixo Principal,Vitória da Conquista,2876.0,3097.0,221.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|2876,BR-30,BA,2876.0,3097.0,2876,74,,,
030BBA0244,30,BR-30,BA,Eixo Principal,Vitória da Conquista,3097.0,3118.0,21.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|3097,BR-30,BA,3097.0,3118.0,3097,75,,,
030BBA0250,30,BR-30,BA,Eixo Principal,Vitória da Conquista,3118.0,3522.0,404.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|3118,BR-30,BA,3118.0,3522.0,3118,76,,,
030BBA0251,30,BR-30,BA,Eixo Principal,Vitória da Conquista,3522.0,3538.0,16.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|3522,BR-30,BA,3522.0,3538.0,3522,77,,,
030BBA0252,30,BR-30,BA,Eixo Principal,Vitória da Conquista,3538.0,3770.0,232.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|3538,BR-30,BA,3538.0,3770.0,3538,78,,,
030BBA0254,30,BR-30,BA,Eixo Principal,Vitória da Conquista,3770.0,3950.0,180.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|3770,BR-30,BA,3770.0,3950.0,3770,79,,,
030BBA0270,30,BR-30,BA,Eixo Principal,Vitória da Conquista,3950.0,3977.0,27.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|3950,BR-30,BA,3950.0,3977.0,3950,80,,,
030BBA0272,30,BR-30,BA,Eixo Principal,Vitória da Conquista,3977.0,4142.0,165.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|3977,BR-30,BA,3977.0,4142.0,3977,81,,,
030BBA0281,30,BR-30,BA,Eixo Principal,Vitória da Conquista,4142.0,4227.0,85.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|4142,BR-30,BA,4142.0,4227.0,4142,82,,,
030BBA0290,30,BR-30,BA,Eixo Principal,Vitória da Conquista,4227.0,4350.0,123.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|4227,BR-30,BA,4227.0,4350.0,4227,83,,,
030BBA0310,30,BR-30,BA,Eixo Principal,Vitória da Conquista,4350.0,4690.0,340.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|4350,BR-30,BA,4350.0,4690.0,4350,84,,,
030BBA0320,30,BR-30,BA,Eixo Principal,Vitória da Conquista,4690.0,4740.0,50.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|4690,BR-30,BA,4690.0,4740.0,4690,85,,,
030BBA0325,30,BR-30,BA,Eixo Principal,Vitória da Conquista,4740.0,4840.0,100.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|4740,BR-30,BA,4740.0,4840.0,4740,86,,,
030BBA0330,30,BR-30,BA,Eixo Principal,Vitória da Conquista,4840.0,5120.0,280.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|4840,BR-30,BA,4840.0,5120.0,4840,87,,,
030BBA0335,30,BR-30,BA,Eixo Principal,Vitória da Conquista,5120.0,5294.0,174.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|5120,BR-30,BA,5120.0,5294.0,5120,88,,,
030BBA0340,30,BR-30,BA,Eixo Principal,Vitória da Conquista,5294.0,5373.0,79.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|5294,BR-30,BA,5294.0,5373.0,5294,89,,,
030BBA0345,30,BR-30,BA,Eixo Principal,Vitória da Conquista,5373.0,5873.0,500.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|5373,BR-30,BA,5373.0,5873.0,5373,90,,,
030BBA0350,30,BR-30,BA,Eixo Principal,,5873.0,5884.0,11.0,PLA,Diagonal,km_crescente,Estadual,nao,2025-07,BR-30|BA|5873,BR-30,BA,5873.0,5884.0,5873,91,,,
030BBA0355,30,BR-30,BA,Eixo Principal,Vitória da Conquista,5884.0,6111.0,227.0,N_PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|5884,BR-30,BA,5884.0,6111.0,5884,92,,,
030BBA0360,30,BR-30,BA,Eixo Principal,,6111.0,6112.0,1.0,N_PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|6111,BR-30,BA,6111.0,6112.0,6111,93,,,
030BBA0365,30,BR-30,BA,Eixo Principal,Vitória da Conquista,6112.0,6443.0,331.0,N_PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|6112,BR-30,BA,6112.0,6443.0,6112,94,,,
030BBA0370,30,BR-30,BA,Eixo Principal,,6443.0,6833.0,390.0,PLA,Diagonal,km_crescente,Estadual,nao,2025-07,BR-30|BA|6443,BR-30,BA,6443.0,6833.0,6443,95,,,
030BBA0375,30,BR-30,BA,Eixo Principal,Vitória da Conquista,6833.0,7031.0,198.0,N_PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|6833,BR-30,BA,6833.0,7031.0,6833,96,,,
030BBA0380,30,BR-30,BA,Eixo Principal,Vitória da Conquista,7031.0,7061.0,30.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|7031,BR-30,BA,7031.0,7061.0,7031,97,,,
030BBA0385,30,BR-30,BA,Eixo Principal,Jequié,7061.0,7221.0,160.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|7061,BR-30,BA,7061.0,7221.0,7061,98,,,
030BBA0390,30,BR-30,BA,Eixo Principal,Jequié,7221.0,7240.0,19.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|7221,BR-30,BA,7221.0,7240.0,7221,99,,,
030BBA0395,30,BR-30,BA,Eixo Principal,Jequié,7240.0,7601.0,361.0,N_PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|7240,BR-30,BA,7240.0,7601.0,7240,100,,,
030BBA0400,30,BR-30,BA,Eixo Principal,Jequié,7601.0,7643.0,42.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|7601,BR-30,BA,7601.0,7643.0,7601,101,,,
030BBA0410,30,BR-30,BA,Eixo Principal,Jequié,7643.0,7696.0,53.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|7643,BR-30,BA,7643.0,7696.0,7643,102,,,
030BBA0412,30,BR-30,BA,Eixo Principal,Jequié,7696.0,8103.0,407.0,N_PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|7696,BR-30,BA,7696.0,8103.0,7696,103,,,
030BBA0414,30,BR-30,BA,Eixo Principal,Jequié,8103.0,8205.0,102.0,N_PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|8103,BR-30,BA,8103.0,8205.0,8103,104,,,
030BBA0430,30,BR-30,BA,Eixo Principal,Jequié,8205.0,8401.0,196.0,N_PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|8205,BR-30,BA,8205.0,8401.0,8205,105,,,
030BBA0440,30,BR-30,BA,Eixo Principal,Itabuna,8401.0,8417.0,16.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|8401,BR-30,BA,8401.0,8417.0,8401,106,,,
030BBA0450,30,BR-30,BA,Eixo Principal,Itabuna,8417.0,8759.0,342.0,N_PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|8417,BR-30,BA,8417.0,8759.0,8417,107,,,
030BBA0452,30,BR-30,BA,Eixo Principal,Itabuna,8759.0,8906.0,147.0,N_PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|8759,BR-30,BA,8759.0,8906.0,8759,108,,,
030BBA0460,30,BR-30,BA,Eixo Principal,Itabuna,8906.0,9137.0,231.0,N_PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|8906,BR-30,BA,8906.0,9137.0,8906,109,,,
030BBA0470,30,BR-30,BA,Eixo Principal,Itabuna,9137.0,9194.0,57.0,N_PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|9137,BR-30,BA,9137.0,9194.0,9137,110,,,
030CBA1005,30,BR-30,BA,Contorno,,0.0,30.0,30.0,PLA,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|0,BR-30,BA,0.0,30.0,0,111,,,
030CBA1010,30,BR-30,BA,Contorno,,30.0,69.0,39.0,PLA,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|30,BR-30,BA,30.0,69.0,30,112,,,
101ARN1005,101,BR-101,RN,Acesso,Macaíba,0.0,13.0,13.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|RN|0,BR-101,RN,0.0,13.0,0,113,,,
101BAL0590,101,BR-101,AL,Eixo Principal,Maceió,0.0,6.0,6.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|AL|0,BR-101,AL,0.0,6.0,0,114,,,
101BAL0600,101,BR-101,AL,Eixo Principal,Maceió,6.0,26.0,20.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|AL|6,BR-101,AL,6.0,26.0,6,115,,,
101BAL0610,101,BR-101,AL,Eixo Principal,Maceió,26.0,48.0,22.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|AL|26,BR-101,AL,26.0,48.0,26,116,,,
101BAL0615,101,BR-101,AL,Eixo Principal,Maceió,48.0,80.0,32.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|AL|48,BR-101,AL,48.0,80.0,48,117,,,
101BAL0617,101,BR-101,AL,Eixo Principal,Maceió,80.0,102.0,22.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|AL|80,BR-101,AL,80.0,102.0,80,118,,,
101BAL0620,101,BR-101,AL,Eixo Principal,Maceió,102.0,205.0,103.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|AL|102,BR-101,AL,102.0,205.0,102,119,,,
101BAL0622,101,BR-101,AL,Eixo Principal,Maceió,205.0,304.0,99.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|AL|205,BR-101,AL,205.0,304.0,205,120,,,
