id_trecho,br,br_pad,uf,trecho_desc,localidade,km_ini,km_fim,ext_km,situacao,classe,sentido,jurisdicao,concessao,data_ref,chave_trecho_hint
030BBA0470,30,BR-30,BA,Eixo Principal,Itabuna,9137.0,9194.0,57.0,N_PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|9137
030CBA1005,30,BR-30,BA,Contorno,,0.0,30.0,30.0,PLA,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|0
030CBA1010,30,BR-30,BA,Contorno,,30.0,69.0,39.0,PLA,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|30
101ARN1005,101,BR-101,RN,Acesso,Macaíba,0.0,13.0,13.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|RN|0
101BAL0590,101,BR-101,AL,Eixo Principal,Maceió,0.0,6.0,6.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|AL|0
101BAL0600,101,BR-101,AL,Eixo Principal,Maceió,6.0,26.0,20.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|AL|6
101BAL0610,101,BR-101,AL,Eixo Principal,Maceió,26.0,48.0,22.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|AL|26
101BAL0615,101,BR-101,AL,Eixo Principal,Maceió,48.0,80.0,32.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|AL|48
101BAL0617,101,BR-101,AL,Eixo Principal,Maceió,80.0,102.0,22.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|AL|80
101BAL0620,101,BR-101,AL,Eixo Principal,Maceió,102.0,205.0,103.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|AL|102
101BAL0622,101,BR-101,AL,Eixo Principal,Maceió,205.0,304.0,99.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|AL|205
101BAL0625,101,BR-101,AL,Eixo Principal,Maceió,304.0,374.0,70.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|AL|304
101BAL0630,101,BR-101,AL,Eixo Principal,Maceió,374.0,518.0,144.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|AL|374
101BAL0650,101,BR-101,AL,Eixo Principal,Maceió,518.0,705.0,187.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|AL|518
101BAL0660,101,BR-101,AL,Eixo Principal,Maceió,705.0,754.0,49.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|AL|705
101BAL0680,101,BR-101,AL,Eixo Principal,Maceió,754.0,792.0,38.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|AL|754
101BAL0690,101,BR-101,AL,Eixo Principal,Maceió,792.0,871.0,79.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|AL|792
101BAL0710,101,BR-101,AL,Eixo Principal,Maceió,871.0,1015.0,144.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|AL|871
101BAL0730,101,BR-101,AL,Eixo Principal,Maceió,1015.0,1044.0,29.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|AL|1015
101BAL0750,101,BR-101,AL,Eixo Principal,Maceió,1044.0,1124.0,80.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|AL|1044
101BAL0770,101,BR-101,AL,Eixo Principal,Maceió,1124.0,1193.0,69.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|AL|1124
101BAL0790,101,BR-101,AL,Eixo Principal,Maceió,1193.0,1299.0,106.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|AL|1193
101BAL0810,101,BR-101,AL,Eixo Principal,Maceió,1299.0,1359.0,60.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|AL|1299
101BAL0820,101,BR-101,AL,Eixo Principal,Maceió,1359.0,1395.0,36.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|AL|1359
101BAL0830,101,BR-101,AL,Eixo Principal,Maceió,1395.0,1661.0,266.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|AL|1395
101BAL0850,101,BR-101,AL,Eixo Principal,Maceió,1661.0,2017.0,356.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|AL|1661
101BAL0870,101,BR-101,AL,Eixo Principal,Maceió,2017.0,2285.0,268.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|AL|2017
101BAL0890,101,BR-101,AL,Eixo Principal,Maceió,2285.0,2466.0,181.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|AL|2285
101BAL0900,101,BR-101,AL,Eixo Principal,Maceió,2466.0,2497.0,31.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|AL|2466
101BBA1405,101,BR-101,BA,Eixo Principal,Cruz das Almas,0.0,1.0,1.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|BA|0
101BBA1410,101,BR-101,BA,Eixo Principal,Cruz das Almas,1.0,67.0,66.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|BA|1
101BBA1412,101,BR-101,BA,Eixo Principal,Cruz das Almas,67.0,356.0,289.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|BA|67
101BBA1430,101,BR-101,BA,Eixo Principal,Cruz das Almas,356.0,617.0,261.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|BA|356
101BBA1431,101,BR-101,BA,Eixo Principal,Cruz das Almas,617.0,657.0,40.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|BA|617
101BBA1432,101,BR-101,BA,Eixo Principal,Cruz das Almas,657.0,756.0,99.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|BA|657
101BBA1450,101,BR-101,BA,Eixo Principal,Cruz das Almas,756.0,973.0,217.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|BA|756
